RELQ_ID	RELQ_CATEGORY	RelQSubject	RelQBody	RELQ_USERID	RELQ_USERNAME	RELQ_DATE	RELC_ID	RelCText	RELC_RELEVANCE2RELQ	RELC_USERID	RELC_USERNAME	RELC_DATE
Q2772	salary_NNP and_CC allowances_NNS	hi_NN ;_: can_MD anyone_NN give_VB me_PRP an_DT idea_NN about_IN grade_JJ 109_CD pay_NN scale_NN in_IN hamad_JJ medical_JJ cooperation_NN ?_.	hi_NN ;_: can_MD anyone_NN give_VB me_PRP an_DT idea_NN about_IN grade_JJ 109_CD pay_NN scale_NN in_IN hamad_JJ medical_JJ cooperation_NN ?_. if_IN hr_NNP give_VB me_PRP an_DT offer_NN can_MD i_VB give_VB it_PRP for_IN a_DT review_NN ?_. will_MD it_PRP affect_VB the_DT current_JJ offer_NN ?_.	U9255	rhnab	2012-06-30 13:29:22	Q2772_C1	pay_VB scale_NN of_IN 108_CD be_VBZ 6500_CD so_IN how_WRB can_MD it_PRP be_VB the_DT same_JJ for_IN 109_CD ?_.	Bad	U9255	rhnab	2012-07-01 20:44:31
Q2773	family_RB life_NNP in_IN qatar_NNP	quick_JJ and_CC reasonable_JJ courier_NN service_NN ?_.	need_NN to_TO courier_VB a_DT parcel_NN to_TO europe_NNP ;_: what_WP be_VBZ the_DT best_JJS company_NN to_TO use_VB ?_. consider_VBG cost_NN and_CC 3-4_JJ day_NNS for_IN delivery_NN ?_. thanks_NNS	U5547	qatari	2009-12-14 09:52:36	Q2773_C1	try_NN aramex_NNP	Good	U5407	algadomain	2009-12-14 10:20:10
Q2773	family_RB life_NNP in_IN qatar_NNP	quick_JJ and_CC reasonable_JJ courier_NN service_NN ?_.	need_NN to_TO courier_VB a_DT parcel_NN to_TO europe_NNP ;_: what_WP be_VBZ the_DT best_JJS company_NN to_TO use_VB ?_. consider_VBG cost_NN and_CC 3-4_JJ day_NNS for_IN delivery_NN ?_. thanks_NNS	U5547	qatari	2009-12-14 09:52:36	Q2773_C2	aramex_NN !_. here_RB be_VBZ the_DT phone_NN no_DT ._. in_IN case_NN u_JJ need_VBP it_PRP -_: 4506611_CD ._.	Good	U4396	mohammed.ahmed	2009-12-14 10:28:04
Q2773	family_RB life_NNP in_IN qatar_NNP	quick_JJ and_CC reasonable_JJ courier_NN service_NN ?_.	need_NN to_TO courier_VB a_DT parcel_NN to_TO europe_NNP ;_: what_WP be_VBZ the_DT best_JJS company_NN to_TO use_VB ?_. consider_VBG cost_NN and_CC 3-4_JJ day_NNS for_IN delivery_NN ?_. thanks_NNS	U5547	qatari	2009-12-14 09:52:36	Q2773_C3	available_JJ cheap_JJ &_CC with_IN reasonable_JJ price.._NN ;_: \\aramex..tel_NNP ._. no.as_NNP quote_VBN by_IN others_NNS ..._: others_NNS be_VBP double_JJ costly_JJR than..this_NN	Good	U6033	shajitomy	2009-12-14 10:42:23
Q2773	family_RB life_NNP in_IN qatar_NNP	quick_JJ and_CC reasonable_JJ courier_NN service_NN ?_.	need_NN to_TO courier_VB a_DT parcel_NN to_TO europe_NNP ;_: what_WP be_VBZ the_DT best_JJS company_NN to_TO use_VB ?_. consider_VBG cost_NN and_CC 3-4_JJ day_NNS for_IN delivery_NN ?_. thanks_NNS	U5547	qatari	2009-12-14 09:52:36	Q2773_C4	pm_IN me_PRP i_VBP will_MD tell_VB u_RB exactly_RB ._. it_PRP$ part_NN of_IN my_PRP$ jb_NN ..._: :_: d_NN	PotentiallyUseful	U1211	my_kris2ffer	2009-12-14 11:31:32
Q2773	family_RB life_NNP in_IN qatar_NNP	quick_JJ and_CC reasonable_JJ courier_NN service_NN ?_.	need_NN to_TO courier_VB a_DT parcel_NN to_TO europe_NNP ;_: what_WP be_VBZ the_DT best_JJS company_NN to_TO use_VB ?_. consider_VBG cost_NN and_CC 3-4_JJ day_NNS for_IN delivery_NN ?_. thanks_NNS	U5547	qatari	2009-12-14 09:52:36	Q2773_C5	all_DT courier_JJR company_NNS say_VBZ they_PRP be_VBP good_JJ ._. in_IN my_PRP$ experience_NN all_DT same_JJ ._.	PotentiallyUseful	U413	supermanqatar	2009-12-14 13:05:11
Q2773	family_RB life_NNP in_IN qatar_NNP	quick_JJ and_CC reasonable_JJ courier_NN service_NN ?_.	need_NN to_TO courier_VB a_DT parcel_NN to_TO europe_NNP ;_: what_WP be_VBZ the_DT best_JJS company_NN to_TO use_VB ?_. consider_VBG cost_NN and_CC 3-4_JJ day_NNS for_IN delivery_NN ?_. thanks_NNS	U5547	qatari	2009-12-14 09:52:36	Q2773_C6	if_IN it_PRP be_VBZ for_IN europe_NNP ;_: try_NN aramex_NNP ._. if_IN it_PRP be_VBZ for_IN india_NNP try_NN st_NNP cargo_NN and_CC courier_NN ._.	Good	U9256	mariad	2009-12-14 13:23:06
Q2774	visas_NNP and_CC permits_NNP	family_RB rp_NNP from_IN moi_NNP	anybody_NN be_VBZ there_EX who_WP receive_VBD a_DT family_NN rp_NNP from_IN gharaffa_NNP immigration_NN recently_RB ?_. as_IN per_IN the_DT new_JJ rule_NN family_NN rp_NNP application_NN need_NN to_TO be_VB submit_VBN in_IN moi_NNP instead_RB of_IN mol_NNP ._. but_CC i_PRP would_MD like_VB to_TO know_VB the_DT procedure_NNS in_IN immigration_NNP if_IN there_EX be_VBZ any_DT change_NNS for_IN the_DT application_NN form_NN and_CC requirement_NN ect_NN ..._: please_NN share_NN your_PRP$ experience_NN here_RB and_CC i_PRP 'm_VBP sure_JJ it_PRP will_MD help_VB others_NNS !_. thanks_NNS	U6205	nishu441	2011-11-21 20:14:01	Q2774_C1	no_DT change_NN in_IN the_DT procedure_NN only_RB application_JJ form_NN change_NN ._. submit_VB the_DT application_NN on_IN ist_NNP floor_NN of_IN building_NN no.2_NN ._.	Good	U9257	sudheesh kumar	2011-11-22 07:43:35
Q2774	visas_NNP and_CC permits_NNP	family_RB rp_NNP from_IN moi_NNP	anybody_NN be_VBZ there_EX who_WP receive_VBD a_DT family_NN rp_NNP from_IN gharaffa_NNP immigration_NN recently_RB ?_. as_IN per_IN the_DT new_JJ rule_NN family_NN rp_NNP application_NN need_NN to_TO be_VB submit_VBN in_IN moi_NNP instead_RB of_IN mol_NNP ._. but_CC i_PRP would_MD like_VB to_TO know_VB the_DT procedure_NNS in_IN immigration_NNP if_IN there_EX be_VBZ any_DT change_NNS for_IN the_DT application_NN form_NN and_CC requirement_NN ect_NN ..._: please_NN share_NN your_PRP$ experience_NN here_RB and_CC i_PRP 'm_VBP sure_JJ it_PRP will_MD help_VB others_NNS !_. thanks_NNS	U6205	nishu441	2011-11-21 20:14:01	Q2774_C2	thanks_NNS sudheesh_NNP for_IN your_PRP$ comment_NN ?_. do_VBD u_JJ sumbmit_NN application_NN to_TO moi_NNP ?_. be_VBZ there_RB very_RB strict_JJ for_IN release_VBG family_NN visa.can_JJ u_JJ share_NN your_PRP$ experience_NNS ?_. plss_NN	Bad	U9258	Aneesh K J	2011-11-22 07:49:06
Q2774	visas_NNP and_CC permits_NNP	family_RB rp_NNP from_IN moi_NNP	anybody_NN be_VBZ there_EX who_WP receive_VBD a_DT family_NN rp_NNP from_IN gharaffa_NNP immigration_NN recently_RB ?_. as_IN per_IN the_DT new_JJ rule_NN family_NN rp_NNP application_NN need_NN to_TO be_VB submit_VBN in_IN moi_NNP instead_RB of_IN mol_NNP ._. but_CC i_PRP would_MD like_VB to_TO know_VB the_DT procedure_NNS in_IN immigration_NNP if_IN there_EX be_VBZ any_DT change_NNS for_IN the_DT application_NN form_NN and_CC requirement_NN ect_NN ..._: please_NN share_NN your_PRP$ experience_NN here_RB and_CC i_PRP 'm_VBP sure_JJ it_PRP will_MD help_VB others_NNS !_. thanks_NNS	U6205	nishu441	2011-11-21 20:14:01	Q2774_C3	could_MD any_DT one_CD share_NN there_EX experience_NN with_IN moi_NNP who_WP already_RB get_VBD the_DT family_NN rp_NNP ?_. be_VBZ there_EX still_RB strict_JJ to_TO release_VB the_DT rp_NNP ?_.	Bad	U6205	nishu441	2011-11-22 08:20:32
