RELQ_ID	RELQ_CATEGORY	RelQSubject	RelQBody	RELQ_USERID	RELQ_USERNAME	RELQ_DATE	RELC_ID	RelCText	RELC_RELEVANCE2RELQ	RELC_USERID	RELC_USERNAME	RELC_DATE
Q201_R26	working_VBG in_IN qatar_NNP	salary_NNP v_NN cost_NNP of_IN living_NNP doha_NNP	family_RB with_IN 2_CD kid_NNS (_( 9_CD &_CC 5_CD year_NNS old_JJ )_) -_: both_DT school_NN go_VBG salary_JJ package_NN of_IN 20k_CD (_( with_IN no_DT other_JJ benefit_NN )_) is_VBZ it_PRP a_DT good_JJ deal_NN ?_.	U4433	komail	2015-01-07 10:00:25	Q201_R26_C1	for_IN family_NN with_IN 2_CD child_NN ;_: you_PRP ll_VBP probably_RB need_VBP 2br_CD flat_JJ which_WDT will_MD cost_VB about_IN 7000-8000_CD and_CC for_IN school_VBG you_PRP ll_VBP probably_RB need_VBP 4000-5000._CD so_IN it_PRP mean_VBZ these_DT two_CD will_MD take_VB major_JJ chunk_NN of_IN your_PRP$ salary_NN ._. further_IN you_PRP can_MD take_VB 3000_CD monthly_JJ live_VBG expense_NN and_CC 2000_CD for_IN conveyance_NN ._. additionally_RB any_DT medical_JJ requirement_NNS ._. now_RB it_PRP$ upto_NN you_PRP to_TO decide_VB ..._:	Good	U4434	aamirjaved	2015-01-07 10:31:45
Q201_R26	working_VBG in_IN qatar_NNP	salary_NNP v_NN cost_NNP of_IN living_NNP doha_NNP	family_RB with_IN 2_CD kid_NNS (_( 9_CD &_CC 5_CD year_NNS old_JJ )_) -_: both_DT school_NN go_VBG salary_JJ package_NN of_IN 20k_CD (_( with_IN no_DT other_JJ benefit_NN )_) is_VBZ it_PRP a_DT good_JJ deal_NN ?_.	U4433	komail	2015-01-07 10:00:25	Q201_R26_C2	aamirjaved_NNP 's_POS calculation_NN be_VBZ somewhat_RB on_IN the_DT high_JJ side_NN ._. i_PRP believe_VBP you_PRP should_MD be_VB able_JJ to_TO get_VB a_DT 2br_CD within_IN qr_NNP 5000_CD and_CC also_RB you_PRP can_MD easily_RB manage_VB your_PRP$ monthly_JJ expense_NNS within_IN qr_NNP 2000_CD ._. for_IN the_DT schooling_NN ;_: if_IN you_PRP be_VBP an_DT asian_JJ ;_: it_PRP be_VBZ not_RB that_DT costly_JJ to_TO my_PRP$ understanding_NN ._. as_IN such_JJ ;_: my_PRP$ view_NN be_VBZ that_IN if_IN you_PRP be_VBP an_DT asian_JJ ;_: grab_VB the_DT offer_NN ;_: but_CC if_IN you_PRP be_VBP a_DT westerner_NN ;_: kick_VB it_PRP ._.	Good	U640	acchabaccha	2015-01-07 10:43:17
Q201_R26	working_VBG in_IN qatar_NNP	salary_NNP v_NN cost_NNP of_IN living_NNP doha_NNP	family_RB with_IN 2_CD kid_NNS (_( 9_CD &_CC 5_CD year_NNS old_JJ )_) -_: both_DT school_NN go_VBG salary_JJ package_NN of_IN 20k_CD (_( with_IN no_DT other_JJ benefit_NN )_) is_VBZ it_PRP a_DT good_JJ deal_NN ?_.	U4433	komail	2015-01-07 10:00:25	Q201_R26_C3	we_PRP ca_MD n't_RB say_VB if_IN it_PRP 's_VBZ a_DT good_JJ deal_NN -_: you_PRP do_VBP n't_RB include_VB detail_NNS of_IN the_DT role_NN ._. try_VB to_TO get_VB school_VBG include_VBN in_IN the_DT package_NN ._. agree_VB with_IN aamirjaved_JJ ._. depends_VBZ on_IN what_WP standard_NN of_IN living_NN you_PRP want_VBP ._. depending_VBG on_IN area_NN ;_: you_PRP may_MD need_VB 10k+_CD for_IN a_DT nice_JJ 2_CD bed_NN ._.	PotentiallyUseful	U4435	arkb	2015-01-07 10:44:34
Q201_R26	working_VBG in_IN qatar_NNP	salary_NNP v_NN cost_NNP of_IN living_NNP doha_NNP	family_RB with_IN 2_CD kid_NNS (_( 9_CD &_CC 5_CD year_NNS old_JJ )_) -_: both_DT school_NN go_VBG salary_JJ package_NN of_IN 20k_CD (_( with_IN no_DT other_JJ benefit_NN )_) is_VBZ it_PRP a_DT good_JJ deal_NN ?_.	U4433	komail	2015-01-07 10:00:25	Q201_R26_C4	agree_NNP with_IN aamirjaved_VBN ._.	Bad	U4436	Viswakumar	2015-01-07 10:49:36
Q201_R26	working_VBG in_IN qatar_NNP	salary_NNP v_NN cost_NNP of_IN living_NNP doha_NNP	family_RB with_IN 2_CD kid_NNS (_( 9_CD &_CC 5_CD year_NNS old_JJ )_) -_: both_DT school_NN go_VBG salary_JJ package_NN of_IN 20k_CD (_( with_IN no_DT other_JJ benefit_NN )_) is_VBZ it_PRP a_DT good_JJ deal_NN ?_.	U4433	komail	2015-01-07 10:00:25	Q201_R26_C5	ezdan_RB 2_CD bedroom_NN fully_RB furnished_NNP you_PRP get_VBP in_IN qr_NNP 5500_CD ;_: school_NNP asian_NNP with_IN transportation_NNP for_IN 2_CD kid_NNS 750_CD x2_NNS =_JJ 1500_CD and_CC qr_NNP 3000_CD living_NN expense_NN and_CC qr_NNP 1000_CD miscellaneous_JJ ._. so_CC net_JJ savings_NNS qr_RB 9000_CD a_IN of_IN my_PRP$ 10_CD year_NNS experience_NN in_IN doha_NNP live_VBG with_IN family_NNP ._.	Good	U4437	BISHWANATH2014	2015-01-07 11:19:50
Q201_R26	working_VBG in_IN qatar_NNP	salary_NNP v_NN cost_NNP of_IN living_NNP doha_NNP	family_RB with_IN 2_CD kid_NNS (_( 9_CD &_CC 5_CD year_NNS old_JJ )_) -_: both_DT school_NN go_VBG salary_JJ package_NN of_IN 20k_CD (_( with_IN no_DT other_JJ benefit_NN )_) is_VBZ it_PRP a_DT good_JJ deal_NN ?_.	U4433	komail	2015-01-07 10:00:25	Q201_R26_C6	no_DT enough_NN for_IN the_DT near_JJ future_NN a_IN qatar_NNP be_VBZ get_VBG more_RBR expensive_JJ not_RB yearly_RB !_. you_PRP can_MD feel_VB it_PRP every_DT 4-5_JJ month_NNS ._.	PotentiallyUseful	U4438	mido-doha	2015-01-07 11:55:01
Q201_R26	working_VBG in_IN qatar_NNP	salary_NNP v_NN cost_NNP of_IN living_NNP doha_NNP	family_RB with_IN 2_CD kid_NNS (_( 9_CD &_CC 5_CD year_NNS old_JJ )_) -_: both_DT school_NN go_VBG salary_JJ package_NN of_IN 20k_CD (_( with_IN no_DT other_JJ benefit_NN )_) is_VBZ it_PRP a_DT good_JJ deal_NN ?_.	U4433	komail	2015-01-07 10:00:25	Q201_R26_C7	i_PRP will_MD suggest_VB to_TO go_VB for_IN unfurnished_JJ property_NN ;_: it_PRP will_MD cost_VB you_PRP around_RP qr_NNP 4000-4800_JJ depends_NNS on_IN locality_NN ;_: asian_JJ school_NN with_IN transportation_NN for_IN two_CD kid_NNS 1000_CD x2=_NNP qr_NNP 2000_CD ;_: qr_NNP 2000_CD for_IN live_VBG expense_NN and_CC qr_NNP 500_CD for_IN transport_NN ;_: total_JJ cost_NN of_IN living_NN would_MD be_VB qr_JJ 8500_CD -_: 9300_CD ;_: you_PRP can_MD save_VB qr_NNP +10500_NNP ;_: but_CC it_PRP totally_RB depend_VBZ on_IN your_PRP$ live_VBG standard_NN ._.	PotentiallyUseful	U4439	krohit_in	2015-01-07 11:58:07
Q201_R26	working_VBG in_IN qatar_NNP	salary_NNP v_NN cost_NNP of_IN living_NNP doha_NNP	family_RB with_IN 2_CD kid_NNS (_( 9_CD &_CC 5_CD year_NNS old_JJ )_) -_: both_DT school_NN go_VBG salary_JJ package_NN of_IN 20k_CD (_( with_IN no_DT other_JJ benefit_NN )_) is_VBZ it_PRP a_DT good_JJ deal_NN ?_.	U4433	komail	2015-01-07 10:00:25	Q201_R26_C8	1.2bhk_CD -_: qr_NN 5000/pm_CD 2.furniture_CD allowance_NNP incl_NNP all_NNP house_NN hold_NN item_NNS (_( for_IN one_CD time_NN =_VBZ qr_NNP 14000_CD -_: 16000_CD )_) for_IN two_CD bed_NN room_NN flat_JJ ._. schooling_VBG for_IN tow_JJ kid_NNS incl_VBP transport_NN (_( asian_JJ )_) =_VBP qr_JJ 1800_CD 3.net_CD +_NN phone_NNP =_NNP qr_NNP 600_CD 4_CD ._. house_NNP living_NN expenses_NNP =_NNP qr_NNP 2500_CD 5_CD ._. miscellaneous_JJ =_NN qr_NNP 1000_CD if_IN you_PRP be_VBP from_IN india_NNP then_RB the_DT cost_NN of_IN living_NN should_MD be_VB like_IN allmost_NNP the_DT same_JJ ..._: .._NN	PotentiallyUseful	U4440	Hamidpipi1	2015-01-07 12:08:47
Q201_R26	working_VBG in_IN qatar_NNP	salary_NNP v_NN cost_NNP of_IN living_NNP doha_NNP	family_RB with_IN 2_CD kid_NNS (_( 9_CD &_CC 5_CD year_NNS old_JJ )_) -_: both_DT school_NN go_VBG salary_JJ package_NN of_IN 20k_CD (_( with_IN no_DT other_JJ benefit_NN )_) is_VBZ it_PRP a_DT good_JJ deal_NN ?_.	U4433	komail	2015-01-07 10:00:25	Q201_R26_C9	if_IN you_PRP have_VBP decide_VBN to_TO join_VB this_DT qatar_NNP company_NN ;_: you_PRP mus_VBP to_TO attest_VB your_PRP$ educational_JJ certificate.for_NN attestation_NN &_CC translation_NN purpose_NN please_NN contact_NN to_TO sheenservices_NNS wll.._JJ website_NN :_: http_NN :_: //sheenservices.com/contact-us.html-44366147/55974495_JJ	Bad	U68	Mary-vani	2015-01-07 12:43:13
Q201_R26	working_VBG in_IN qatar_NNP	salary_NNP v_NN cost_NNP of_IN living_NNP doha_NNP	family_RB with_IN 2_CD kid_NNS (_( 9_CD &_CC 5_CD year_NNS old_JJ )_) -_: both_DT school_NN go_VBG salary_JJ package_NN of_IN 20k_CD (_( with_IN no_DT other_JJ benefit_NN )_) is_VBZ it_PRP a_DT good_JJ deal_NN ?_.	U4433	komail	2015-01-07 10:00:25	Q201_R26_C10	if_IN you_PRP be_VBP asian_JJ you_PRP should_MD be_VB fine_JJ with_IN it_PRP ._. if_IN you_PRP be_VBP european_JJ you_PRP would_MD n't_RB be_VB fine_JJ with_IN it_PRP all_DT a_IN the_DT school_NNS and_CC the_DT rent_NN fee_NNS will_MD eat_VB up_RP much_RB of_IN it_PRP	PotentiallyUseful	U4124	yacine.h	2015-01-07 13:47:59
